sira,ana_kategori,ikincil_kategoriler
"1","Toplumsal Dayanışma, Merhamet ve Kardeşlik",""
"6","Ekonomik Hayat: Kazanç, Zekat ve İsraf",""
"11","İbadet ve Kulluk",""
"16","Sabır, Tevekkül ve Manevi Olgunluk",""
"21","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler"
"26","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz"
"31","İbadet ve Kulluk",""
"36","İman, Tevhid ve Ahiret",""
"41","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"46","Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret"
"51","Aile, Çocuk ve Nesil","İslam Coğrafyası ve Küresel Meseleler"
"56","Kandiller, Muharrem ve Mübarek Geceler","Sabır, Tevekkül ve Manevi Olgunluk"
"61","Vatan, Millet ve Tarih",""
"66","İman, Tevhid ve Ahiret","İslam Coğrafyası ve Küresel Meseleler"
"71","Vatan, Millet ve Tarih",""
"76","Aile, Çocuk ve Nesil",""
"81","İbadet ve Kulluk",""
"86","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler"
"91","İman, Tevhid ve Ahiret",""
"96","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ekonomik Hayat: Kazanç, Zekat ve İsraf"
"101","Afet, Kriz ve Sağlık",""
"106","Afet, Kriz ve Sağlık","İbadet ve Kulluk"
"111","İbadet ve Kulluk","Afet, Kriz ve Sağlık"
"116","Afet, Kriz ve Sağlık",""
"121","Ramazan, Oruç ve Bayramlar",""
"126","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"131","İbadet ve Kulluk",""
"136","Aile, Çocuk ve Nesil",""
"141","Aile, Çocuk ve Nesil",""
"146","Vatan, Millet ve Tarih",""
"151","Kandiller, Muharrem ve Mübarek Geceler",""
"156","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih"
"161","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab"
"166","Kandiller, Muharrem ve Mübarek Geceler",""
"171","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler; Vatan, Millet ve Tarih"
"176","Vatan, Millet ve Tarih","Kandiller, Muharrem ve Mübarek Geceler"
"181","İbadet ve Kulluk",""
"186","İman, Tevhid ve Ahiret",""
"191","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler"
"196","İbadet ve Kulluk","Peygamberimiz ve Ashab"
