tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"01.01.2021","GEÇMİŞİN MUHASEBESİ, GELECEĞİN İMARI","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","birey","uyarı; teşvik","genel","ahlaki"
"08.01.2021","FÂTİHA SÛRESİ: KUR'AN'IN MUKADDİMESİ","Kur'an-ı Kerim","İbadet ve Kulluk","birey","bilgilendirme; teşvik","genel","katılım"
"15.01.2021","MİRAS: HER HAK SAHİBİNE HAKKINI VERMEK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","aile","bilgilendirme; uyarı","aileler","ahlaki"
"22.01.2021","AKLIN İBADETİ: TEFEKKÜR","İbadet ve Kulluk","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ahlaki"
"29.01.2021","HAYVANLARA MERHAMET: DİNÎ VE İNSANÎ SORUMLULUĞUMUZ","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"05.02.2021","GENÇLERİMİZ: EN BÜYÜK İMKÂN VE ZENGİNLİĞİMİZ","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","aile","teşvik; bilgilendirme","gençler","ahlaki"
"12.02.2021","MANEVÎ HUZUR İKLİMİNE GİRERKEN","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"19.02.2021","İMANIN TADINA ERMEK: ALLAH VE RESÛLÜ'NÜ SEVMEK","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","teşvik; teselli","genel","ahlaki"
"26.02.2021","ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK ALMAK","Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"05.03.2021","İSRÂ VE MİRAÇ","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","birey","teşvik; teselli","genel","ritüel"
"12.03.2021","İSTİKLÂL MARŞI: HAKKIDIR HAKKA TAPAN MİLLETİMİN İSTİKLÂL!","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"19.03.2021","ANNE-BABA RIZASI, RABBİMİZİN RIZASINA VESİLEDİR","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","aile","teşvik; bilgilendirme","aileler","ahlaki"
"26.03.2021","BERAT GECESİ: AF VE MAĞFİRET GECESİ","Kandiller, Muharrem ve Mübarek Geceler","Afet, Kriz ve Sağlık","birey","teşvik; teselli","genel","ritüel"
"02.04.2021","BİRBİRİMİZİN FARKINDA OLALIM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","teşvik; bilgilendirme","aileler","ahlaki"
"09.04.2021","RAMAZAN: KUTLU MİSAFİR","Ramazan, Oruç ve Bayramlar","Afet, Kriz ve Sağlık","birey","teşvik; bilgilendirme","genel","ritüel"
"16.04.2021","ŞİFA AYI RAMAZAN","Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ahlaki"
