"tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"09.01.2026","NAMAZ","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"23.01.2026","AKRAN İLİŞKİLERİ","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","uyarı; teşvik","gençler","ahlaki"
"30.01.2026","TÖVBEYE YÖNELMEK","İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; uyarı","genel","ritüel"
"06.02.2026","BİRLİK VE BERABERLİK","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","millet","ahlaki"
"13.02.2026","RAMAZAN İKLİMİ","Ramazan, Oruç ve Bayramlar","","birey","teşvik","genel","ritüel"
"20.02.2026","RAMAZAN, CAMİ VE HAYAT","Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk","birey","teşvik","genel","katılım"
"27.02.2026","BAĞIMLILIKLA MÜCADELEDE RAMAZAN BİR FIRSATTIR","Afet, Kriz ve Sağlık","Ramazan, Oruç ve Bayramlar","aile","uyarı","aileler","ahlaki"
"06.03.2026","ZEKÂT VE FITIR SADAKASI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik","genel","maddi"
"13.03.2026","HAK VE HAKİKATİN TEMSİLCİLERİ: PEYGAMBERLER","İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler","birey","bilgilendirme; teşvik","genel","ritüel"
"20.03.2026","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler","karma","teşvik; kınama","ümmet","ritüel"
"20.03.2026","HAYATI RAMAZAN KILMAK","Ramazan, Oruç ve Bayramlar","","birey","teşvik","genel","ahlaki"
"27.03.2026","TEVEKKÜL","Sabır, Tevekkül ve Manevi Olgunluk","","birey","bilgilendirme; teşvik","genel","ahlaki"
"03.04.2026","CUMA VE ÜMMET BİLİNCİ","İbadet ve Kulluk","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","ümmet","ritüel"
"10.04.2026","İSLAM","İman, Tevhid ve Ahiret","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","bilgilendirme; teşvik","genel","ahlaki"
"17.04.2026","BİRBİRİMİZE KENETLENELİM, SORUMLULUKLARIMIZI İDRAK EDELİM","Vatan, Millet ve Tarih","Aile, Çocuk ve Nesil","cemaat-toplum","teselli; uyarı","millet","ahlaki"
"24.04.2026","MERHAMET EĞİTİMİ","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","","aile","teşvik","genel","ahlaki"
"01.05.2026","ALIN TERİ MUKADDESTİR","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","cemaat-toplum","teşvik; bilgilendirme","esnaf-işveren","ahlaki"
"08.05.2026","İBADETLER, BİZİ RABBİMİZE YAKINLAŞTIRIR","İbadet ve Kulluk","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"15.05.2026","TOPLUMSAL SORUMLULUKLARIMIZ","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","karma","teşvik","genel","ahlaki"
"22.05.2026","SÖZ AHLAKI VE SOSYAL MEDYA","Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","teşvik; uyarı","genel","ahlaki"
"27.05.2026","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","","birey","teşvik","genel","ritüel"
"29.05.2026","FETİH RUHU VE VAKIF MEDENİYETİ","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","millet","maddi"
"05.06.2026","DUYARLILIK","Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","teşvik; bilgilendirme","genel","ahlaki"
"12.06.2026","HİCRİ YENİ YILA GİRERKEN","Kandiller, Muharrem ve Mübarek Geceler","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"19.06.2026","BİRLİKTE RAHMET VARDIR","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; kınama","ümmet","ahlaki"
"26.06.2026","AİLE OLMAK","Aile, Çocuk ve Nesil","","aile","teşvik","aileler","ahlaki"
"03.07.2026","YAZ KUR’AN KURSLARI","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik","aileler","katılım"
"10.07.2026","DİN İSTİSMARI","Vatan, Millet ve Tarih","İman, Tevhid ve Ahiret","cemaat-toplum","uyarı; kınama","millet","ahlaki"
"17.07.2026","KUR’AN-I KERİM","Kur'an-ı Kerim","","birey","bilgilendirme; teşvik","genel","ritüel"
"07.08.2026","KARDEŞLİK","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","uyarı; teşvik","millet","ahlaki"
