tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"25.01.2013","ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; teşvik","genel","ahlaki"
"08.03.2013","BİR KUL OLARAK KADIN","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","birey","teşvik; kınama","genel","ahlaki"
"15.03.2013","ŞEHİTLİK VE ÇANAKKALE","Vatan, Millet ve Tarih","","cemaat-toplum","bilgilendirme; teşvik","millet","ritüel"
"29.03.2013","SOKAĞIN YETİMLERİ: ÇOCUKLARIMIZ","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","aileler","ahlaki"
"05.04.2013","MÜKERREM BİR VARLIK OLARAK İNSAN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","birey","teşvik","genel","ahlaki"
"12.04.2013","PEYGAMBERİMİZ VE İNSAN ONURU","Peygamberimiz ve Ashab","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"19.04.2013","İNSAN KALABİLMEK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"07.06.2013","MÜMİNLER KARDEŞTİRLER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"14.06.2013","YAZ KUR’AN KURSLARI","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik","aileler","katılım; ritüel"
"21.06.2013","BERATA ULAŞABİLMEK","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","karma","teşvik; teselli","genel","ritüel; maddi"
"28.06.2013","İSLÂMÎ BİR DEĞERİMİZ: EDEB","Ahlak, Erdem ve Söz","","birey","bilgilendirme; teşvik","genel","ahlaki"
"05.07.2013","RAMAZAN VE ORUÇ","Ramazan, Oruç ve Bayramlar","","birey","teşvik","genel","ritüel"
"12.07.2013","HELAL KAZANÇ HELAL LOKMA","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; teşvik","genel","ahlaki"
"19.07.2013","HELAL KAZANÇ, HELAL LOKMA","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","teşvik; uyarı","genel","ahlaki"
"26.07.2013","TEKBİR: ALLÂHU EKBER","İman, Tevhid ve Ahiret","İbadet ve Kulluk; İslam Coğrafyası ve Küresel Meseleler","karma","bilgilendirme; kınama","ümmet","ritüel"
"02.08.2013","RAMAZANA VEDA VE KADİR GECESİ","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","karma","teselli; teşvik","genel","ritüel"
"08.08.2013","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; teselli","ümmet","ahlaki; maddi"
"16.08.2013","MAZLUMUN AHI, TİTRETİR ARŞ-I RAHMAN’I","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","kınama; teselli","ümmet","ritüel"
"23.08.2013","İNSANIN KATLİ, İNSANLIĞIN KATLİDİR","İslam Coğrafyası ve Küresel Meseleler","Ahlak, Erdem ve Söz","cemaat-toplum","kınama; uyarı","ümmet","ritüel"
"30.08.2013","ZAFERLER ALLAH’TANDIR","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"27.09.2013","DAVET HEPİMİZE, HEP BİRLİKTE CAMİYE!","İbadet ve Kulluk","","cemaat-toplum","teşvik","kadınlar","katılım"
"04.10.2013","KURBANLARIMIZLA PEKİŞSİN KARDEŞLİĞİMİZ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; maddi"
"15.10.2013","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"01.11.2013","RAHMET’İN HİCRETİ","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","bilgilendirme; teşvik","genel","ahlaki"
"08.11.2013","MUHARREM AYI VE KERBELÂ","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","ümmet","ritüel; ahlaki"
"13.12.2013","DÜNYADA YOLCU OLABİLMEK!","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"27.12.2013","ÖMÜR SERMAYESİ TÜKENİRKEN…","Sabır, Tevekkül ve Manevi Olgunluk","İslam Coğrafyası ve Küresel Meseleler","karma","uyarı; teşvik","genel","ahlaki"
