tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"06.01.2023","BESMELE: BEREKETE AÇILAN KAPI","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"13.01.2023","EN GÜZEL İSİMLER ALLAH'A AİTTİR","İman, Tevhid ve Ahiret","","birey","bilgilendirme; teşvik","genel","ritüel"
"20.01.2023","ALLAH'IM! ÜÇ AYLARI BİZE BEREKETLİ KIL","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"27.01.2023","EN BÜYÜK MUCİZE KUR'AN-I KERİM","Kur'an-ı Kerim","","birey","bilgilendirme; teşvik","genel","ahlaki"
"03.02.2023","İMANIN GEREĞİ: SALİH AMEL VE GÜZEL AHLAK","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ahlaki"
"10.02.2023","GÜN, MİLLETÇE KENETLENME GÜNÜDÜR","Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","maddi"
"17.02.2023","MİRAÇ GECEMİZ: İLÂHÎ RAHMET VE SEKÎNET VESİLEMİZ","Afet, Kriz ve Sağlık","Kandiller, Muharrem ve Mübarek Geceler","cemaat-toplum","teselli; teşvik","millet","maddi; ritüel"
"24.02.2023","KARDEŞLİK, DAYANIŞMA VE DUA VAKTİ","Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","ritüel; ahlaki"
"03.03.2023","MÜSLÜMANLAR BİRBİRİNİN UMUDUDUR","Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","ahlaki"
"10.03.2023","MÜMİN GÜVENEN VE GÜVENİLEN KİŞİDİR","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"17.03.2023","RAMAZAN: RAHMET VE MAĞFİRET AYI","Ramazan, Oruç ve Bayramlar","","birey","teşvik; bilgilendirme","genel","ritüel"
"24.03.2023","RAMAZAN VE DAYANIŞMA","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Afet, Kriz ve Sağlık","cemaat-toplum","teşvik; teselli","millet","maddi; katılım"
"31.03.2023","ZEKÂT: İSLAM'IN DAYANIŞMA KÖPRÜSÜ","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","maddi"
"07.04.2023","İHSAN BİLİNCİ: KULLUĞUN ZİRVESİ","İbadet ve Kulluk","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"14.04.2023","KADİR GECESİ: BİR ÖMRE BEDEL GECE","Ramazan, Oruç ve Bayramlar","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"21.04.2023","RAMAZAN BAYRAMI: NEŞE, HUZUR VE KARDEŞLİK GÜNLERİ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki; ritüel"
"28.04.2023","İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","teşvik; bilgilendirme","esnaf-işveren","ahlaki"
"05.05.2023","İSRAF: TÜKETİRKEN TÜKENMEK","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","uyarı; teşvik","genel","ahlaki"
"12.05.2023","KADIN VE ERKEK: HÜRMETE LAYIK, SAYGIN VARLIK","Aile, Çocuk ve Nesil","","aile","bilgilendirme; teşvik","aileler","ahlaki"
"19.05.2023","GENÇLERİMİZ, MİLLİ VE MANEVİ DEĞERLERİMİZİN EMANETÇİSİDİR","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","gençler","ahlaki"
"26.05.2023","BİRLİK VE BERABERLİK RUHU","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih","cemaat-toplum","teşvik; bilgilendirme","millet","ahlaki"
"02.06.2023","KALPLER ALLAH'I ZİKRETMEKLE HUZURA KAVUŞUR","İbadet ve Kulluk","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ritüel"
"09.06.2023","RABBİMİZ ÇEVRE İLE BİZLERE NE ÖĞRETİR?","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","","birey","bilgilendirme; teşvik","genel","ahlaki"
"16.06.2023","İSLAM'IN İKİ ŞİÂRI: EZAN VE KURBAN","Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk","birey","bilgilendirme; teşvik","genel","maddi; ritüel"
"23.06.2023","BABA: CENNETE AÇILAN KAPI","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"28.06.2023","KURBAN BAYRAMI: KARDEŞLİK VE YARDIMLAŞMA GÜNLERİ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel; ahlaki"
"30.06.2023","ÇOCUKLARIMIZIN ÜZERİMİZDE HAKKI","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","katılım; ahlaki"
"07.07.2023","EVLİLİKLERİMİZ KOLAY OLSUN","Aile, Çocuk ve Nesil","Ekonomik Hayat: Kazanç, Zekat ve İsraf","aile","teşvik; uyarı","aileler","ahlaki"
"14.07.2023","DİN SAMİMİYETTİR, İSTİSMAR İHANETTİR","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih","birey","uyarı; teşvik","genel","ahlaki"
"21.07.2023","HİCRET: İDEALLER UĞRUNA ÇIKILAN KUTLU BİR SEFER","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","bilgilendirme; teşvik","genel","ahlaki"
"28.07.2023","MUHARREM AYININ ÖNEMİ VE EHL-İ BEYT-İ MUSTAFA","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","bilgilendirme; teşvik","ümmet","ritüel; ahlaki"
"04.08.2023","CUMA: HAFTALIK BAYRAM GÜNÜMÜZ","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
