tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"03.01.2025","MÜMİNİN HAYATINDA UMUTSUZLUĞA YER YOKTUR","Sabır, Tevekkül ve Manevi Olgunluk","İslam Coğrafyası ve Küresel Meseleler","birey","teşvik; teselli","genel","ahlaki"
"10.01.2025","FITRATI KORUMAK, AİLEYİ KORUMAKTIR","Aile, Çocuk ve Nesil","","aile","uyarı; teşvik","aileler","ahlaki"
"17.01.2025","İSLAM, VARLIK SEBEBİMİZDİR","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"24.01.2025","MİRACIN HEDİYESİ, DİNİMİZİN DİREĞİ NAMAZ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"31.01.2025","EBEDİYET YOLCUSUNU UĞURLARKEN","İbadet ve Kulluk","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","bilgilendirme; teselli","genel","ritüel; ahlaki"
"07.02.2025","DİL, İNSANIN YA CENNETİ YA DA CEHENNEMİDİR","Ahlak, Erdem ve Söz","","birey","uyarı; teşvik","genel","ahlaki"
"14.02.2025","MAHREMİYET, İNSANI SAYGIN KILAR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Aile, Çocuk ve Nesil","aile","uyarı; bilgilendirme","aileler","ahlaki"
"21.02.2025","GAYBIN BİLGİSİ YALNIZCA ALLAH'A AİTTİR","İman, Tevhid ve Ahiret","","birey","uyarı; bilgilendirme","genel","ahlaki"
"28.02.2025","RAHMET VE MAĞFİRET MEVSİMİNE GİRERKEN","Ramazan, Oruç ve Bayramlar","","birey","teşvik; bilgilendirme","genel","ritüel"
"07.03.2025","İYİLİK AYI RAMAZAN","Ramazan, Oruç ve Bayramlar","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"14.03.2025","İYİLİK KÖPRÜSÜ: ZEKÂT VE FITIR SADAKASI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","maddi"
"21.03.2025","İNFAK VE KUR'AN AYI RAMAZAN","Ramazan, Oruç ve Bayramlar","Ekonomik Hayat: Kazanç, Zekat ve İsraf; Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; bilgilendirme","genel","maddi; ritüel"
"28.03.2025","RAMAZAN'A VEDA EDERKEN","Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ahlaki; ritüel"
