"tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"04.01.2019","ÖZÜ SÖZÜ DOĞRU OLMAK","Ahlak, Erdem ve Söz","","birey","teşvik; uyarı","genel","ahlaki"
"11.01.2019","İNSANIN KEMAL YOLCULUĞU: İSLAM, İMAN VE İHSAN","İbadet ve Kulluk","Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk","birey","bilgilendirme; teşvik","genel","ahlaki"
"18.01.2019","MÜSLÜMANLAR İLİM VE MEDENİYETİN ÖNCÜLERİDİR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"25.01.2019","İSLAM AHLÂKININ ÖZÜ HAYÂDIR","Ahlak, Erdem ve Söz","","birey","teşvik; uyarı","genel","ahlaki"
"01.02.2019","RIFK: ALLAH HER İŞTE ZERAFETİ SEVER","Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"08.02.2019","İBADET: KUL OLMA ŞUURU","İbadet ve Kulluk","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ahlaki"
"15.02.2019","HAYATI YAŞANILIR KILMANIN YOLU: DİN VE MANEVİYAT","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ahlaki"
"22.02.2019","YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","aile","teşvik; bilgilendirme","aileler","ahlaki"
"01.03.2019","BEREKET MEVSİMİ: ÜÇ AYLAR","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"08.03.2019","İYİLİK PAYLAŞTIKÇA ÇOĞALIR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"15.03.2019","ÇANAKKALE ZAFERİ VE BİRLİK RUHU","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; kınama","millet","ritüel"
"22.03.2019","KUR'AN VE SÜNNET BİR BÜTÜNDÜR","Kur'an-ı Kerim","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"29.03.2019","MİRAÇ GECESİ","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","birey","teşvik; kınama","genel","ritüel"
"05.04.2019","MÜSLÜMAN HAYIRLI BİR KOMŞUDUR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
