tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"05.01.2024","RAHMET VE MAĞFİRET İKLİMİ: ÜÇ AYLAR","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ritüel; ahlaki"
"12.01.2024","ALLAH'IN RAHMET VE İNAYETİNE SIĞINMANIN ADI: EÛZÜ-BESMELE","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"19.01.2024","BİZİ GÜÇLÜ KILAN, BİRLİK VE BERABERLİĞİMİZDİR","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","millet","ahlaki; ritüel"
"26.01.2024","MÜLK SÛRESİNDEN MESAJLAR","İslam Coğrafyası ve Küresel Meseleler","İman, Tevhid ve Ahiret","cemaat-toplum","bilgilendirme; kınama","ümmet","ahlaki; ritüel"
"02.02.2024","RABBİMİZ, MÜMİNLERİ YALNIZ VE YARDIMSIZ BIRAKMAZ","İslam Coğrafyası ve Küresel Meseleler","Afet, Kriz ve Sağlık; Kandiller, Muharrem ve Mübarek Geceler","cemaat-toplum","teselli; kınama","ümmet","maddi; ritüel"
"09.02.2024","HAYATI DEĞERLİ KILAN ÖLÇÜ: İMAN","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"16.02.2024","DÜNYAYI BARIŞ VE İTİDALE ÇAĞIRIYORUZ","İslam Coğrafyası ve Küresel Meseleler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","kınama; teşvik","ümmet","ahlaki; ritüel"
"23.02.2024","BERAT GECESİ: GÜNAHLARDAN ARINMA VESİLESİ","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ritüel; ahlaki"
"01.03.2024","ZARARLI ALIŞKANLIKLARIN ESİRİ OLMAYALIM","Afet, Kriz ve Sağlık","","cemaat-toplum","uyarı; teşvik","gençler","ahlaki"
"08.03.2024","RAMAZAN GELİYOR! HAZIR MIYIZ?","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler; Ekonomik Hayat: Kazanç, Zekat ve İsraf","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel; maddi"
