tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"03.02.2012","MEVLİD-İ NEBİ","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik","genel","ahlaki; ritüel"
"06.04.2012","KARDEŞLİK ÇAĞRISI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","cemaat-toplum","teşvik","genel","ahlaki"
"13.04.2012","KARDEŞLİK AHLAKI VE HUKUKU","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"29.06.2012","BERÂT’A YOL ARAMAK","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ritüel"
"20.07.2012","“BEN ORUÇLUYUM” DİYEBİLMEK","Ramazan, Oruç ve Bayramlar","","birey","teşvik; uyarı","genel","ritüel; ahlaki"
"27.07.2012","SEVGİ VE BARIŞ DİLİ: SELÂM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"19.08.2012","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"28.09.2012","YETER Kİ GÖNÜLLER ENGELLİ OLMASIN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İbadet ve Kulluk","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki; katılım"
"16.11.2012","MEDENİYET YOLCULUĞU: HİCRET","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","bilgilendirme; teşvik","ümmet","ahlaki"
"28.12.2012","“DÜN” EYLEDİĞİMİZ GÜNLER…","Sabır, Tevekkül ve Manevi Olgunluk","İslam Coğrafyası ve Küresel Meseleler","karma","uyarı; teşvik","genel","ahlaki; maddi"
