tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"03.01.2020","İNSAN, İMAN VE HAYAT","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","bilgilendirme; teşvik","genel","ahlaki; maddi"
"10.01.2020","PEYGAMBERİMİZİN DİLİNDEN DUALAR","İbadet ve Kulluk","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ritüel"
"17.01.2020","TEKNOLOJİ BAĞIMLILIĞI VE SOSYAL MEDYA AHLAKI","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Aile, Çocuk ve Nesil","aile","uyarı; bilgilendirme","aileler","ahlaki"
"24.01.2020","SORUMLULUK SAHİBİ BİR BABA OLABİLMEK","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"31.01.2020","AFETLERE KARŞI BİLİNÇLİ OLALIM","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teselli; uyarı","genel","ahlaki"
"07.02.2020","KUDÜS İSLAM YURDUDUR","İslam Coğrafyası ve Küresel Meseleler","Afet, Kriz ve Sağlık","cemaat-toplum","kınama; teselli","ümmet","ahlaki"
"14.02.2020","ALLAH İLE KUL ARASINDAKİ BAĞ","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"21.02.2020","ÜÇ AYLARIN MANEVİ İKLİMİNE YAKLAŞIRKEN","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"28.02.2020","HAK UĞRUNDA MÜCADELEMİZ, BİRLİK VE BERABERLİK RUHUMUZ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel"
"06.03.2020","ALLAH TEMİZDİR, TEMİZLİĞİ SEVER","İbadet ve Kulluk","Afet, Kriz ve Sağlık","birey","teşvik; uyarı","genel","ahlaki"
"13.03.2020","TEDBİR MÜMİN'DEN TAKDİR ALLAH'TANDIR","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","birey","uyarı; teşvik","genel","ahlaki"
"27.03.2020","ZORLUKLAR KARŞISINDA MÜMİN","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teselli; uyarı","genel","ahlaki"
"03.04.2020","BERAT GECESİ: AF VE ARINMA VESİLESİ","Kandiller, Muharrem ve Mübarek Geceler","Afet, Kriz ve Sağlık","birey","teşvik; teselli","genel","ritüel"
"10.04.2020","İNSAN, SORUMLULUK SAHİBİDİR","Sabır, Tevekkül ve Manevi Olgunluk","Afet, Kriz ve Sağlık","birey","bilgilendirme; teşvik","genel","ahlaki"
"17.04.2020","AİLE: HUZUR VE GÜVEN KAYNAĞI","Aile, Çocuk ve Nesil","Afet, Kriz ve Sağlık","aile","teşvik; teselli","aileler","ahlaki"
"24.04.2020","RAMAZAN: SABIR VE İRADE EĞİTİMİ","Ramazan, Oruç ve Bayramlar","Afet, Kriz ve Sağlık","cemaat-toplum","uyarı; teşvik","genel","ahlaki"
"01.05.2020","RAMAZAN VE SORUMLULUK BİLİNCİ","Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"08.05.2020","RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA AYI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"15.05.2020","KUR'AN'LA YAŞAMAK","Kandiller, Muharrem ve Mübarek Geceler","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","genel","ritüel"
