tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"05.01.2018","DÜNYADAKİ CENNETİMİZ: AİLE","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"12.01.2018","HAKKIN YANINDA, BÂTILIN KARŞISINDA YER ALABİLMEK","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"19.01.2018","ÖNCE KENDİMİZDEN SORUMLUYUZ","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"26.01.2018","BİRLİK VE BERABERLİK RUHU","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; kınama","millet","ahlaki"
"02.02.2018","İSLAM'IN İKİ ANA KAYNAĞI: KUR'AN VE SÜNNET","Kur'an-ı Kerim","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"09.02.2018","İSRAF, DİNÎ VE AHLAKÎ BİR İFLASTIR","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; bilgilendirme","genel","ahlaki"
"16.02.2018","CİHÂD: ALLAH YOLUNDA CANLA VE MALLA MÜCADELE","Vatan, Millet ve Tarih","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","millet","ahlaki"
"23.02.2018","BAĞIMLILIK BİR TUZAKTIR","Afet, Kriz ve Sağlık","Aile, Çocuk ve Nesil","aile","uyarı; teşvik","aileler","ahlaki"
"02.03.2018","İSLAM'DA TİCARET AHLAKI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz","birey","teşvik; uyarı","esnaf-işveren","ahlaki"
"09.03.2018","İSLAM'DA KADIN: ADALET, MERHAMET VE HAKKANİYET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","cemaat-toplum","teşvik; kınama","aileler","ahlaki"
"16.03.2018","MİLLETİMİZİN VAROLUŞ MÜCADELESİ: ÇANAKKALE ZAFERİ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"23.03.2018","İBADET HAYATIMIZ VE GÖNÜL DÜNYAMIZ","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"30.03.2018","VAHYİN İNSANLIĞA İLK MESAJI: OKU!","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","aileler","ahlaki"
