tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"13.03.2015","ÇANAKKALE ŞEHİTLERİNE…","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"20.03.2015","İNSANI İYİLİK YAŞATIR","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik","genel","ahlaki"
"27.03.2015","KUL VE KAMU HAKKI","Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf","birey","uyarı; bilgilendirme","genel","ahlaki"
"03.04.2015","HAKİKİ SEVGİ: ALLAH’I SEVMEK, ALLAH İÇİN SEVMEK","İman, Tevhid ve Ahiret","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik","genel","ahlaki"
"10.04.2015","HZ. PEYGAMBER VE BİRLİKTE YAŞAMA AHLAKI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"17.04.2015","DÜNYA BİZE, BİZ BİRBİRİMİZE EMANETİZ!","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"24.04.2015","MANEVİ COŞKUNUN ZİRVESİ: ÜÇ AYLAR","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; teselli","genel","ahlaki"
"01.05.2015","KALBİN CİLÂSI: TÖVBE VE İSTİĞFAR","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik","genel","ritüel"
"08.05.2015","CANA CAN OLMAK: AİLE","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"15.05.2015","MİRAÇ KANDİLİ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"22.05.2015","BOŞ ŞEYLERİ TERK EDEREK HAYATI ANLAMLI KILMAK","Ahlak, Erdem ve Söz","","birey","uyarı; teşvik","genel","ahlaki"
"29.05.2015","TEVBEMİZ BERATIMIZ OLSUN","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik","genel","ritüel"
"05.06.2015","İSLÂM, IRKÇILIĞIN HER TÜRLÜSÜNÜ REDDEDER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","kınama; bilgilendirme","genel","ahlaki"
"12.06.2015","KUR’AN AYINDA KUR’AN’LA BULUŞALIM!","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik","aileler","katılım; ahlaki"
"19.06.2015","VAKİT İYİLİK VAKTİ: BU RAMAZAN VE HER ZAMAN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar","cemaat-toplum","teşvik","genel","ahlaki; maddi"
"26.06.2015","TEVHİD İLE GELEN VAHDET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"03.07.2015","CENNET KAPILARININ ANAHTARI: YETİMLER","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"10.07.2015","KADİR GECESİ, KADİR BİLENLER İÇİNDİR","Kandiller, Muharrem ve Mübarek Geceler","Kur'an-ı Kerim","birey","teşvik; teselli","genel","ritüel"
"17.07.2015","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ahlaki"
"07.08.2015","KULLUĞUN ÖZÜ: İHSAN","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"14.08.2015","İMANIN TEZAHÜRÜ: FEDAKÂRLIK VE İSÂR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"21.08.2015","BİRLİK VE BERABERLİĞİMİZİN HARCI: KARDEŞLİĞİMİZ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih","cemaat-toplum","teşvik; teselli","millet","ahlaki"
"28.08.2015","HAC YOLCULUĞUNDAN HAK YOLCULUĞUNA","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"04.09.2015","KARDEŞLİĞİ KÖRELTEN AFETLER: TECESSÜS, SU-İ ZAN…","Ahlak, Erdem ve Söz","","birey","uyarı; bilgilendirme","genel","ahlaki"
"11.09.2015","BİRLİĞİMİZİ, BERABERLİĞİMİZİ, KARDEŞLİĞİMİZİ MUHAFAZA EDELİM!","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","ritüel; ahlaki"
"18.09.2015","KURBANLARIMIZ KARDEŞLİK İÇİN!","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; maddi"
"24.09.2015","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"02.10.2015","YARATAN RABBİNİN ADIYLA OKU!","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","aileler","ahlaki"
"09.10.2015","NAMAZ DİRİLİŞTİR","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"16.10.2015","MERHAMET İKSİRİNİ YUDUMLAYABİLMEK","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","ümmet","ahlaki"
"23.10.2015","KERBELÂ’YI DOĞRU ANLAMAK","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","teselli; bilgilendirme","ümmet","ritüel"
"30.10.2015","PEYGAMBERLER, İNSANLIĞIN YOLUNU AYDINLATAN REHBERLERDİR","Peygamberimiz ve Ashab","İman, Tevhid ve Ahiret","birey","bilgilendirme; teşvik","genel","ahlaki"
