tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"07.01.2022","TÖVBE: GÜNAHLARDAN ARINMA İRADESİ","İman, Tevhid ve Ahiret","","birey","teşvik; teselli","genel","ahlaki"
"14.01.2022","KELİME-İ ŞEHÂDET: İMANIN ÖZÜ","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"21.01.2022","İSLAM: ALLAH KATINDA YEGÂNE DİN","İman, Tevhid ve Ahiret","Kur'an-ı Kerim","birey","bilgilendirme; teşvik","genel","ahlaki"
"28.01.2022","ÜÇ AYLAR: RAHMET VE MAĞFİRET VESİLEMİZ","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"04.02.2022","SÖZ VE DAVRANIŞLARIMIZDA DOĞRU OLALIM","Ahlak, Erdem ve Söz","","birey","teşvik; uyarı","genel","ahlaki"
"11.02.2022","İSLAM'I TEMSİL SORUMLULUĞUMUZ","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"18.02.2022","PEYGAMBERİMİZİN AHLAKI KUR'AN'DI","Peygamberimiz ve Ashab","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"25.02.2022","MÜMİNİN MİRACI NAMAZ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"04.03.2022","BAĞIMLILIK: İNSAN ONURUYLA BAĞDAŞMAYAN HASTALIK","Afet, Kriz ve Sağlık","","birey","uyarı; teşvik","aileler","ahlaki"
"11.03.2022","DÜNYA HAYATI BİR İYİLİK YOLCULUĞUDUR","Ahlak, Erdem ve Söz","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; bilgilendirme","genel","ahlaki"
"18.03.2022","ÇANAKKALE ZAFERİ: BİR MİLLETİN YENİDEN DİRİLİŞİ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"25.03.2022","AİLEMİZ: SEVGİ, RAHMET VE GÜVEN İKLİMİMİZ","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"01.04.2022","MERHABA YA ŞEHR-İ RAMAZAN","Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"08.04.2022","RAMAZAN VE DOĞRULUK","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ahlaki"
"15.04.2022","ZEKÂT VE İNFAK: İSLAM'IN KARDEŞLİK KÖPRÜSÜ","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"22.04.2022","LEYLETÜ'L-KADR: İLAHİ LÜTUF VE İKRAM GECESİ","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"29.04.2022","HAYATI HELAL KILABİLMEK","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"02.05.2022","BAYRAMIMIZ KUTLU, GÖNLÜMÜZ İMAN VE NEŞE DOLU OLSUN","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ritüel"
"06.05.2022","ŞÜKÜR SANA EY ŞEKÛR","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"13.05.2022","İŞ VE ÇALIŞMA AHLAKI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","bilgilendirme; teşvik","esnaf-işveren","ahlaki"
"20.05.2022","DİJİTAL DÜNYADA DEĞERLERİYLE AİLE OLMAK","Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","aile","uyarı; teşvik","aileler","ahlaki"
"27.05.2022","ALLAH'IN KİTABINA VE PEYGAMBERİNİN SÜNNETİNE BAĞLILIK","Kur'an-ı Kerim","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"03.06.2022","ÇEVREYE VEFA MÜMİNİN ŞİARIDIR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","","cemaat-toplum","uyarı; teşvik","genel","ahlaki"
"10.06.2022","BİR YUVA KURALIM","Aile, Çocuk ve Nesil","","aile","teşvik; uyarı","gençler","ahlaki"
"17.06.2022","HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL","Aile, Çocuk ve Nesil","Kur'an-ı Kerim","aile","teşvik; bilgilendirme","aileler","katılım"
"24.06.2022","KURBAN: TAKVAYA ULAŞMA ARZUSU","Ramazan, Oruç ve Bayramlar","","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"01.07.2022","AHİRET GÜNÜ VE HESAP VERME BİLİNCİ","İman, Tevhid ve Ahiret","","birey","uyarı; teşvik","genel","ahlaki"
"08.07.2022","HAC: İLÂHİ DAVET","İbadet ve Kulluk","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"09.07.2022","KURBAN BAYRAMI: ALLAH'A YAKLAŞMA SEVİNCİMİZ","Ramazan, Oruç ve Bayramlar","Peygamberimiz ve Ashab","cemaat-toplum","teşvik; teselli","ümmet","ritüel; maddi"
"15.07.2022","15 TEMMUZ: BİRLİK VE BERABERLİĞİN ZAFERİ","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"22.07.2022","HER CAN MUKADDESTİR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","kınama; uyarı","genel","ahlaki"
