tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"06.01.2017","GÜN, TERÖRE KARŞI YEKVÜCUT OLMA GÜNÜDÜR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"13.01.2017","ALLAH'IN SEVDİĞİ BİR KUL OLABİLMEK","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret","birey","teşvik; uyarı","genel","ahlaki"
"20.01.2017","RAHMÂN'IN MÜMİN KULLARI","Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"27.01.2017","NAMAZI ZAYİ ETMEK","İbadet ve Kulluk","","birey","uyarı; teşvik","genel","ritüel"
"03.02.2017","AHİT, AKİT VE MİSAK OLARAK NİKÂH","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"10.02.2017","MÜMİNCE YAKARIŞIN ADI: DUA","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"17.02.2017","ASR SURESİ'NİN ÖĞRETTİĞİ HAKİKATLER","Kur'an-ı Kerim","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"24.02.2017","ALLAH'A SIĞINMANIN EN GÜZEL İFADESİ: MUAVVİZETEYN SURESİ","İbadet ve Kulluk","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","genel","ritüel"
"03.03.2017","FİRDEVS CENNETİNE MİRASÇI OLMAK","Ahlak, Erdem ve Söz","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"10.03.2017","KÖTÜLÜĞE ENGEL OLABİLMENİN YOLU İYİLİKTİR","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"17.03.2017","ŞEHADETİN DESTANLAŞTIĞI YER: ÇANAKKALE","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
